"filesize" "d_span" "chunk_order" "fsync_bitmap" "sync_bitmap" "number_of_chunks"
12288 2105344 "0231" "0110" "1011" 4
12288 2105344 "0231" "0111" "1011" 4
12288 2105344 "0231" "0100" "1101" 4
12288 2105344 "0231" "0101" "1101" 4
12288 2105344 "0231" "0100" "1111" 4
12288 2105344 "0231" "0101" "1111" 4
12288 2105344 "0231" "0110" "1101" 4
12288 2105344 "0231" "0111" "1101" 4
12288 2105344 "0231" "0110" "1111" 4
12288 2105344 "0231" "0111" "1111" 4
12288 2105344 "0231" "1000" "0001" 4
12288 12288 "0231" "1001" "0001" 4
12288 2105344 "0231" "1000" "0011" 4
12288 2105344 "0231" "1001" "0011" 4
12288 12288 "0231" "1010" "0001" 4
12288 12288 "0231" "1011" "0001" 4
12288 12288 "0231" "1010" "0011" 4
12288 12288 "0231" "1011" "0011" 4
12288 2105344 "0231" "1000" "0101" 4
12288 2105344 "0231" "1001" "0101" 4
12288 2105344 "0231" "1000" "0111" 4
12288 2105344 "0231" "1001" "0111" 4
12288 2105344 "0231" "1010" "0101" 4
12288 2105344 "0231" "1011" "0101" 4
12288 2105344 "0231" "1010" "0111" 4
12288 2105344 "0231" "1011" "0111" 4
12288 12288 "0231" "1100" "0001" 4
12288 12288 "0231" "1101" "0001" 4
12288 12288 "0231" "1100" "0011" 4
12288 12288 "0231" "1101" "0011" 4
12288 12288 "0231" "1110" "0001" 4
12288 12288 "0231" "1111" "0001" 4
12288 12288 "0231" "1110" "0011" 4
12288 12288 "0231" "1111" "0011" 4
12288 12288 "0231" "1100" "0101" 4
12288 12288 "0231" "1101" "0101" 4
12288 12288 "0231" "1100" "0111" 4
12288 12288 "0231" "1101" "0111" 4
12288 12288 "0231" "1110" "0101" 4
12288 12288 "0231" "1111" "0101" 4
12288 12288 "0231" "1110" "0111" 4
12288 12288 "0231" "1111" "0111" 4
12288 2105344 "0231" "1000" "1001" 4
12288 12288 "0231" "1001" "1001" 4
12288 2105344 "0231" "1000" "1011" 4
12288 2105344 "0231" "1001" "1011" 4
12288 12288 "0231" "1010" "1001" 4
12288 12288 "0231" "1011" "1001" 4
12288 12288 "0231" "1010" "1011" 4
12288 12288 "0231" "1011" "1011" 4
12288 2105344 "0231" "1000" "1101" 4
12288 2105344 "0231" "1001" "1101" 4
12288 2105344 "0231" "1000" "1111" 4
12288 2105344 "0231" "1001" "1111" 4
12288 2105344 "0231" "1010" "1101" 4
12288 2105344 "0231" "1011" "1101" 4
12288 2105344 "0231" "1010" "1111" 4
12288 2105344 "0231" "1011" "1111" 4
12288 12288 "0231" "1100" "1001" 4
12288 12288 "0231" "1101" "1001" 4
12288 12288 "0231" "1100" "1011" 4
12288 12288 "0231" "1101" "1011" 4
12288 12288 "0231" "1110" "1001" 4
12288 12288 "0231" "1111" "1001" 4
12288 12288 "0231" "1110" "1011" 4
12288 12288 "0231" "1111" "1011" 4
12288 12288 "0231" "1100" "1101" 4
12288 12288 "0231" "1101" "1101" 4
12288 12288 "0231" "1100" "1111" 4
12288 12288 "0231" "1101" "1111" 4
12288 12288 "0231" "1110" "1101" 4
12288 12288 "0231" "1111" "1101" 4
12288 12288 "0231" "1110" "1111" 4
12288 12288 "0231" "1111" "1111" 4
12288 12288 "0312" "0000" "0001" 4
12288 12288 "0312" "0001" "0001" 4
12288 12288 "0312" "0000" "0011" 4
12288 12288 "0312" "0001" "0011" 4
12288 12288 "0312" "0010" "0001" 4
12288 12288 "0312" "0011" "0001" 4
12288 12288 "0312" "0010" "0011" 4
12288 12288 "0312" "0011" "0011" 4
12288 2101248 "0312" "0000" "0101" 4
12288 4198400 "0312" "0001" "0101" 4
12288 2101248 "0312" "0000" "0111" 4
12288 2101248 "0312" "0001" "0111" 4
12288 2101248 "0312" "0010" "0101" 4
12288 4198400 "0312" "0011" "0101" 4
12288 4198400 "0312" "0010" "0111" 4
12288 2101248 "0312" "0011" "0111" 4
12288 2101248 "0312" "0100" "0001" 4
12288 12288 "0312" "0101" "0001" 4
12288 12288 "0312" "0100" "0011" 4
12288 2101248 "0312" "0101" "0011" 4
12288 12288 "0312" "0110" "0001" 4
12288 12288 "0312" "0111" "0001" 4
12288 12288 "0312" "0110" "0011" 4
12288 12288 "0312" "0111" "0011" 4
12288 2101248 "0312" "0100" "0101" 4
12288 12288 "0312" "0101" "0101" 4
12288 2101248 "0312" "0100" "0111" 4
12288 2101248 "0312" "0101" "0111" 4
12288 12288 "0312" "0110" "0101" 4
12288 12288 "0312" "0111" "0101" 4
12288 12288 "0312" "0110" "0111" 4
12288 12288 "0312" "0111" "0111" 4
12288 16384 "0312" "0000" "1001" 4
12288 2105344 "0312" "0001" "1001" 4
12288 16384 "0312" "0000" "1011" 4
12288 16384 "0312" "0001" "1011" 4
12288 2105344 "0312" "0010" "1001" 4
12288 2105344 "0312" "0011" "1001" 4
12288 2105344 "0312" "0010" "1011" 4
12288 2105344 "0312" "0011" "1011" 4
12288 2101248 "0312" "0000" "1101" 4
12288 2101248 "0312" "0001" "1101" 4
12288 2101248 "0312" "0000" "1111" 4
12288 2101248 "0312" "0001" "1111" 4
12288 2101248 "0312" "0010" "1101" 4
12288 2101248 "0312" "0011" "1101" 4
12288 2101248 "0312" "0010" "1111" 4
12288 2101248 "0312" "0011" "1111" 4
12288 2105344 "0312" "0100" "1001" 4
12288 2105344 "0312" "0101" "1001" 4
12288 2105344 "0312" "0100" "1011" 4
12288 2105344 "0312" "0101" "1011" 4
12288 2105344 "0312" "0110" "1001" 4
12288 2105344 "0312" "0111" "1001" 4
12288 2105344 "0312" "0110" "1011" 4
12288 2105344 "0312" "0111" "1011" 4
12288 4198400 "0312" "0100" "1101" 4
12288 2105344 "0312" "0101" "1101" 4
12288 2105344 "0312" "0100" "1111" 4
12288 2105344 "0312" "0101" "1111" 4
12288 2105344 "0312" "0110" "1101" 4
12288 2105344 "0312" "0111" "1101" 4
12288 2105344 "0312" "0110" "1111" 4
12288 2105344 "0312" "0111" "1111" 4
12288 2105344 "0312" "1000" "0001" 4
12288 12288 "0312" "1001" "0001" 4
12288 2105344 "0312" "1000" "0011" 4
12288 2105344 "0312" "1001" "0011" 4
12288 12288 "0312" "1010" "0001" 4
12288 12288 "0312" "1011" "0001" 4
12288 12288 "0312" "1010" "0011" 4
12288 12288 "0312" "1011" "0011" 4
12288 2101248 "0312" "1000" "0101" 4
12288 2101248 "0312" "1001" "0101" 4
12288 4198400 "0312" "1000" "0111" 4
12288 2101248 "0312" "1001" "0111" 4
12288 2101248 "0312" "1010" "0101" 4
12288 2101248 "0312" "1011" "0101" 4
12288 2101248 "0312" "1010" "0111" 4
12288 2101248 "0312" "1011" "0111" 4
12288 12288 "0312" "1100" "0001" 4
12288 12288 "0312" "1101" "0001" 4
12288 2101248 "0312" "1100" "0011" 4
12288 12288 "0312" "1101" "0011" 4
12288 12288 "0312" "1110" "0001" 4
12288 12288 "0312" "1111" "0001" 4
12288 12288 "0312" "1110" "0011" 4
12288 12288 "0312" "1111" "0011" 4
12288 12288 "0312" "1100" "0101" 4
12288 12288 "0312" "1101" "0101" 4
12288 2101248 "0312" "1100" "0111" 4
12288 2101248 "0312" "1101" "0111" 4
12288 12288 "0312" "1110" "0101" 4
12288 12288 "0312" "1111" "0101" 4
12288 12288 "0312" "1110" "0111" 4
12288 12288 "0312" "1111" "0111" 4
12288 2105344 "0312" "1000" "1001" 4
12288 12288 "0312" "1001" "1001" 4
12288 2105344 "0312" "1000" "1011" 4
12288 2105344 "0312" "1001" "1011" 4
12288 12288 "0312" "1010" "1001" 4
12288 12288 "0312" "1011" "1001" 4
12288 12288 "0312" "1010" "1011" 4
12288 12288 "0312" "1011" "1011" 4
12288 2101248 "0312" "1000" "1101" 4
12288 2101248 "0312" "1001" "1101" 4
12288 4198400 "0312" "1000" "1111" 4
12288 2101248 "0312" "1001" "1111" 4
12288 2101248 "0312" "1010" "1101" 4
12288 2101248 "0312" "1011" "1101" 4
12288 2101248 "0312" "1010" "1111" 4
12288 2101248 "0312" "1011" "1111" 4
12288 12288 "0312" "1100" "1001" 4
12288 12288 "0312" "1101" "1001" 4
12288 2101248 "0312" "1100" "1011" 4
12288 12288 "0312" "1101" "1011" 4
12288 12288 "0312" "1110" "1001" 4
12288 12288 "0312" "1111" "1001" 4
12288 12288 "0312" "1110" "1011" 4
12288 12288 "0312" "1111" "1011" 4
12288 2101248 "0312" "1100" "1101" 4
12288 12288 "0312" "1101" "1101" 4
12288 12288 "0312" "1100" "1111" 4
12288 2101248 "0312" "1101" "1111" 4
12288 12288 "0312" "1110" "1101" 4
12288 12288 "0312" "1111" "1101" 4
12288 12288 "0312" "1110" "1111" 4
12288 12288 "0312" "1111" "1111" 4
12288 12288 "0321" "0000" "0001" 4
12288 12288 "0321" "0001" "0001" 4
12288 12288 "0321" "0000" "0011" 4
